Disease,Description,Symptoms,Diet,Medication,workout,Precautions
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"[('fatigue', 4), ('lethargy', 2), ('itching', 1), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Limit fatty foods,"['consult nearest hospital', 'medication', 'eat healthy', 'vaccination']"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"[('fatigue', 4), ('lethargy', 2), ('itching', 1), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Avoid alcohol and caffeine,"['consult nearest hospital', 'medication', 'eat healthy', 'vaccination']"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"[('fatigue', 4), ('lethargy', 2), ('itching', 1), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Include vitamin C-rich foods,"['consult nearest hospital', 'medication', 'eat healthy', 'vaccination']"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"[('fatigue', 4), ('lethargy', 2), ('itching', 1), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult a healthcare professional,"['consult nearest hospital', 'medication', 'eat healthy', 'vaccination']"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"[('fatigue', 4), ('lethargy', 2), ('itching', 1), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Rest and conserve energy,"['consult nearest hospital', 'medication', 'eat healthy', 'vaccination']"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"[('fatigue', 4), ('lethargy', 2), ('itching', 1), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Gradually resume normal diet,"['consult nearest hospital', 'medication', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Follow a balanced and nutritious diet,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Stay hydrated,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Include protein-rich foods,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consume nutrient-rich foods,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Limit fatty foods,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Avoid alcohol and caffeine,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Include vitamin C-rich foods,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult a healthcare professional,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Rest and conserve energy,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"[('loss_of_appetite', 4), ('fatigue', 4), ('yellowing_of_eyes', 4), ('yellowish_skin', 3), ('nausea', 5)]","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Gradually resume normal diet,"['medication', 'Consult nearest hospital', 'eat healthy', 'vaccination']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Follow a balanced and nutritious diet,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Stay hydrated,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Include protein-rich foods,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consume nutrient-rich foods,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Limit fatty foods,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Avoid alcohol and caffeine,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Include vitamin C-rich foods,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult a healthcare professional,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Rest and conserve energy,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"[('joint_pain', 3), ('fatigue', 4), ('vomiting', 5), ('dark_urine', 4), ('yellowish_skin', 3)]","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Gradually resume normal diet,"['medication', 'follow up', 'eat healthy', 'consult doctor']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Stay hydrated,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Consume nutrient-rich foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Include protein-rich foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Consume easily digestible foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Limit fatty foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Avoid alcohol and caffeine,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Include vitamin C-rich foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Consult a healthcare professional,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Rest and conserve energy,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"[('joint_pain', 3), ('high_fever', 7), ('fatigue', 4), ('vomiting', 5), ('yellowish_skin', 3)]","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Gradually resume normal diet,"['medication', 'stop alcohol consumption', 'consult doctor', 'rest']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Avoid alcohol consumption,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Follow a balanced and nutritious diet,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Stay hydrated,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Consume nutrient-rich foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Include protein-rich foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Limit fatty foods,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Include antioxidants,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Consult a healthcare professional,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Rest and conserve energy,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"[('distention_of_abdomen', 4), ('vomiting', 5), ('swelling_of_stomach', 7), ('abdominal_pain', 4), ('yellowish_skin', 3)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",Gradually resume normal diet,"['medication', 'stop alcohol consumption', 'consult doctor', 'follow up']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Consume a high-protein diet,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Include nutrient-rich foods,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Stay hydrated,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Consume foods rich in vitamins A and C,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Include zinc-rich foods,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Limit sugary foods and beverages,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Consult a healthcare professional,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Rest and conserve energy,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Gradually resume normal diet,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"[('weight_loss', 3), ('fatigue', 4), ('vomiting', 5), ('cough', 4), ('chills', 3)]","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",Follow medical recommendations,"['medication', 'cover mouth', 'consult doctor', 'rest']"
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"[('high_fever', 7), ('fatigue', 4), ('continuous_sneezing', 4), ('cough', 4), ('chills', 3)]","['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",Stay hydrated,"['keep fever in check', 'drink vitamin c rich drinks', 'avoid cold food', 'take vapour']"
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"[('high_fever', 7), ('fatigue', 4), ('continuous_sneezing', 4), ('cough', 4), ('chills', 3)]","['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",Include nutrient-rich foods,"['keep fever in check', 'drink vitamin c rich drinks', 'avoid cold food', 'take vapour']"
